"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 20 18:17:26 GMT 2024","Tue Feb 20 18:17:26 GMT 2024","29","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Tue Feb 20 18:13:32 GMT 2024","Tue Feb 20 18:14:31 GMT 2024","59811","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Tue Feb 20 18:17:14 GMT 2024","Tue Feb 20 18:17:15 GMT 2024","745","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
"broken","Tue Feb 20 18:17:46 GMT 2024","Tue Feb 20 18:17:53 GMT 2024","7463","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","Autorized user should be able create new project",""
"failed","Tue Feb 20 18:17:24 GMT 2024","Tue Feb 20 18:17:24 GMT 2024","146","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Tue Feb 20 18:17:20 GMT 2024","Tue Feb 20 18:17:20 GMT 2024","124","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithReallyLongOfName","Create project with really long name",""
"passed","Tue Feb 20 18:17:17 GMT 2024","Tue Feb 20 18:17:17 GMT 2024","113","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Tue Feb 20 18:17:54 GMT 2024","Tue Feb 20 18:17:56 GMT 2024","2687","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldSeeErrorForInvalidProjectURL","Authorized user should see error for invalid project URL",""
"passed","Tue Feb 20 18:17:43 GMT 2024","Tue Feb 20 18:17:45 GMT 2024","1427","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","test","test",""
"passed","Tue Feb 20 18:17:12 GMT 2024","Tue Feb 20 18:17:14 GMT 2024","1347","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
