"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 12:24:09 GMT 2024","Fri Feb 23 12:24:48 GMT 2024","38700","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTestUI","setupTeamCityAgentTestUI",""
"passed","Fri Feb 23 12:25:09 GMT 2024","Fri Feb 23 12:25:11 GMT 2024","2104","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"passed","Fri Feb 23 12:25:25 GMT 2024","Fri Feb 23 12:25:25 GMT 2024","171","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProjectTest","System admin should have rights to create project test",""
"passed","Fri Feb 23 12:22:56 GMT 2024","Fri Feb 23 12:23:54 GMT 2024","58032","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Fri Feb 23 12:25:23 GMT 2024","Fri Feb 23 12:25:24 GMT 2024","482","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Fri Feb 23 12:25:15 GMT 2024","Fri Feb 23 12:25:15 GMT 2024","181","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithNumber","Create project with ID starting with a number",""
"broken","Fri Feb 23 12:25:27 GMT 2024","Fri Feb 23 12:25:45 GMT 2024","17686","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","User should be able to create build type",""
"failed","Fri Feb 23 12:25:46 GMT 2024","Fri Feb 23 12:25:51 GMT 2024","5465","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldSeeErrorForInvalidProjectURL","User should see error for invalid project URL",""
"passed","Fri Feb 23 12:25:17 GMT 2024","Fri Feb 23 12:25:17 GMT 2024","147","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMaxIdLength","Create project with maximum ID length",""
"passed","Fri Feb 23 12:25:15 GMT 2024","Fri Feb 23 12:25:16 GMT 2024","148","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Fri Feb 23 12:25:18 GMT 2024","Fri Feb 23 12:25:18 GMT 2024","196","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithReallyLongOfName","Create project with really long name",""
"passed","Fri Feb 23 12:25:04 GMT 2024","Fri Feb 23 12:25:09 GMT 2024","5153","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","Build configuration test",""
"failed","Fri Feb 23 12:25:26 GMT 2024","Fri Feb 23 12:25:26 GMT 2024","35","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Fri Feb 23 12:25:19 GMT 2024","Fri Feb 23 12:25:19 GMT 2024","139","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInID","Create project with special symbols and numbers in ID",""
"passed","Fri Feb 23 12:25:21 GMT 2024","Fri Feb 23 12:25:22 GMT 2024","163","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"broken","Fri Feb 23 12:25:52 GMT 2024","Fri Feb 23 12:26:06 GMT 2024","13902","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","Autorized user should be able create new project",""
"unknown","Fri Feb 23 12:25:02 GMT 2024","Fri Feb 23 12:25:02 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithNameWhatAlreadyExist","Create project with name that already exists",""
"passed","Fri Feb 23 12:25:22 GMT 2024","Fri Feb 23 12:25:23 GMT 2024","262","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProjectTest","Project admin should have rights to create build config to his project test",""
"passed","Fri Feb 23 12:25:12 GMT 2024","Fri Feb 23 12:25:13 GMT 2024","1187","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
"unknown","Fri Feb 23 12:25:02 GMT 2024","Fri Feb 23 12:25:02 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithAlreadyExistingId","Create project with already existing ID",""
"passed","Fri Feb 23 12:25:21 GMT 2024","Fri Feb 23 12:25:21 GMT 2024","131","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"passed","Fri Feb 23 12:25:16 GMT 2024","Fri Feb 23 12:25:16 GMT 2024","200","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdWithInvalidCharacters","Create project with ID with invalid characters",""
"passed","Fri Feb 23 12:25:13 GMT 2024","Fri Feb 23 12:25:14 GMT 2024","259","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyId","Create project with empty ID",""
"passed","Fri Feb 23 12:25:20 GMT 2024","Fri Feb 23 12:25:20 GMT 2024","130","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInName","Create project with special symbols and numbers in name",""
"passed","Fri Feb 23 12:25:14 GMT 2024","Fri Feb 23 12:25:14 GMT 2024","120","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyName","Create project with empty name",""
"unknown","Fri Feb 23 12:25:02 GMT 2024","Fri Feb 23 12:25:02 GMT 2024","2","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMinIdLength","Create project with minimum ID length",""
