"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 12:25:10 GMT 2024","Fri Feb 23 12:25:10 GMT 2024","101","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInID","Create project with special symbols and numbers in ID",""
"unknown","Fri Feb 23 12:24:54 GMT 2024","Fri Feb 23 12:24:54 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithNameWhatAlreadyExist","Create project with name that already exists",""
"passed","Fri Feb 23 12:25:06 GMT 2024","Fri Feb 23 12:25:06 GMT 2024","168","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithNumber","Create project with ID starting with a number",""
"passed","Fri Feb 23 12:25:01 GMT 2024","Fri Feb 23 12:25:03 GMT 2024","2226","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"failed","Fri Feb 23 12:25:16 GMT 2024","Fri Feb 23 12:25:16 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Fri Feb 23 12:25:12 GMT 2024","Fri Feb 23 12:25:13 GMT 2024","152","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"passed","Fri Feb 23 12:25:05 GMT 2024","Fri Feb 23 12:25:06 GMT 2024","196","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyName","Create project with empty name",""
"passed","Fri Feb 23 12:25:11 GMT 2024","Fri Feb 23 12:25:11 GMT 2024","160","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"failed","Fri Feb 23 12:25:14 GMT 2024","Fri Feb 23 12:25:14 GMT 2024","450","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Fri Feb 23 12:25:07 GMT 2024","Fri Feb 23 12:25:07 GMT 2024","153","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
