"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Jul 11 11:46:58 GMT 2024","Thu Jul 11 11:46:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithNameWhatAlreadyExist","Create project with name that already exists",""
"passed","Thu Jul 11 11:47:14 GMT 2024","Thu Jul 11 11:47:14 GMT 2024","161","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInID","Create project with special symbols and numbers in ID",""
"passed","Thu Jul 11 11:47:16 GMT 2024","Thu Jul 11 11:47:16 GMT 2024","143","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"passed","Thu Jul 11 11:44:49 GMT 2024","Thu Jul 11 11:45:53 GMT 2024","63572","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Jul 11 11:47:15 GMT 2024","Thu Jul 11 11:47:15 GMT 2024","226","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInName","Create project with special symbols and numbers in name",""
"failed","Thu Jul 11 11:47:55 GMT 2024","Thu Jul 11 11:48:03 GMT 2024","8223","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldSeeErrorForInvalidProjectURL","Authorized user should see error for invalid project URL",""
"broken","Thu Jul 11 11:47:22 GMT 2024","Thu Jul 11 11:47:38 GMT 2024","15972","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","User should be able to create build type",""
"unknown","Thu Jul 11 11:46:58 GMT 2024","Thu Jul 11 11:46:58 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithAlreadyExistingId","Create project with already existing ID",""
"passed","Thu Jul 11 11:46:07 GMT 2024","Thu Jul 11 11:46:45 GMT 2024","37731","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTestUI","setupTeamCityAgentTestUI",""
"passed","Thu Jul 11 11:47:10 GMT 2024","Thu Jul 11 11:47:10 GMT 2024","276","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyName","Create project with empty name",""
"passed","Thu Jul 11 11:47:09 GMT 2024","Thu Jul 11 11:47:09 GMT 2024","277","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyId","Create project with empty ID",""
"passed","Thu Jul 11 11:47:12 GMT 2024","Thu Jul 11 11:47:13 GMT 2024","152","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMaxIdLength","Create project with maximum ID length",""
"passed","Thu Jul 11 11:47:11 GMT 2024","Thu Jul 11 11:47:11 GMT 2024","223","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Thu Jul 11 11:46:59 GMT 2024","Thu Jul 11 11:47:04 GMT 2024","5290","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","Build configuration test",""
"failed","Thu Jul 11 11:47:19 GMT 2024","Thu Jul 11 11:47:19 GMT 2024","441","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Thu Jul 11 11:47:13 GMT 2024","Thu Jul 11 11:47:13 GMT 2024","203","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithReallyLongOfName","Create project with really long name",""
"failed","Thu Jul 11 11:47:46 GMT 2024","Thu Jul 11 11:47:54 GMT 2024","7755","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","Autorized user should be able create new project",""
"passed","Thu Jul 11 11:47:17 GMT 2024","Thu Jul 11 11:47:17 GMT 2024","133","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"passed","Thu Jul 11 11:47:05 GMT 2024","Thu Jul 11 11:47:07 GMT 2024","1865","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"passed","Thu Jul 11 11:47:20 GMT 2024","Thu Jul 11 11:47:20 GMT 2024","159","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProjectTest","System admin should have rights to create project test",""
"passed","Thu Jul 11 11:47:12 GMT 2024","Thu Jul 11 11:47:12 GMT 2024","135","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdWithInvalidCharacters","Create project with ID with invalid characters",""
"passed","Thu Jul 11 11:47:07 GMT 2024","Thu Jul 11 11:47:08 GMT 2024","1117","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
"unknown","Thu Jul 11 11:46:57 GMT 2024","Thu Jul 11 11:46:57 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMinIdLength","Create project with minimum ID length",""
"passed","Thu Jul 11 11:47:10 GMT 2024","Thu Jul 11 11:47:10 GMT 2024","204","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithNumber","Create project with ID starting with a number",""
"failed","Thu Jul 11 11:47:21 GMT 2024","Thu Jul 11 11:47:21 GMT 2024","36","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Thu Jul 11 11:47:18 GMT 2024","Thu Jul 11 11:47:18 GMT 2024","286","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProjectTest","Project admin should have rights to create build config to his project test",""
"failed","Thu Jul 11 11:47:39 GMT 2024","Thu Jul 11 11:47:45 GMT 2024","6053","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldSeeErrorForInvalidProjectURL","User should see error for invalid project URL",""
