"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInName","Create project with special symbols and numbers in name",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyName","Create project with empty name",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProjectTest","Project admin should have rights to create build config to his project test",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyId","Create project with empty ID",""
"passed","Tue Feb 20 14:14:52 GMT 2024","Tue Feb 20 14:15:55 GMT 2024","63535","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","29","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","Build configuration test",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","4","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithMaxIdLength","Create project with maximum ID length",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithReallyLongOfName","Create project with really long name",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdWithInvalidCharacters","Create project with ID with invalid characters",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","24","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProjectTest","System admin should have rights to create project test",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithSpecialSymbolsAndNumbersInID","Create project with special symbols and numbers in ID",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Tue Feb 20 14:16:08 GMT 2024","Tue Feb 20 14:16:49 GMT 2024","40280","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTestUI","setupTeamCityAgentTestUI",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithNumber","Create project with ID starting with a number",""
"broken","Tue Feb 20 14:17:00 GMT 2024","Tue Feb 20 14:17:00 GMT 2024","2","Surefire suite","Surefire test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
