"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 18:43:58 GMT 2024","Tue Feb 20 18:43:58 GMT 2024","114","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithoutParentProjectId","Create project without parent project ID",""
"broken","Tue Feb 20 18:44:01 GMT 2024","Tue Feb 20 18:44:11 GMT 2024","9672","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","User should be able to create build type",""
"passed","Tue Feb 20 18:43:57 GMT 2024","Tue Feb 20 18:43:57 GMT 2024","81","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithValidData","Create project with valid data",""
"passed","Tue Feb 20 18:43:50 GMT 2024","Tue Feb 20 18:43:51 GMT 2024","1384","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","copiedAllAssociatedSettingsInProject","Copied all associated settings in project",""
"failed","Tue Feb 20 18:43:59 GMT 2024","Tue Feb 20 18:43:59 GMT 2024","335","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProjectTest","Project admin should not have rights to create build config to another project test",""
"passed","Tue Feb 20 18:43:53 GMT 2024","Tue Feb 20 18:43:53 GMT 2024","172","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithEmptyId","Create project with empty ID",""
"passed","Tue Feb 20 18:43:47 GMT 2024","Tue Feb 20 18:43:50 GMT 2024","2883","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","Build configuration test",""
"passed","Tue Feb 20 18:44:00 GMT 2024","Tue Feb 20 18:44:00 GMT 2024","124","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProjectTest","System admin should have rights to create project test",""
"failed","Tue Feb 20 18:44:01 GMT 2024","Tue Feb 20 18:44:01 GMT 2024","24","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unautorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have right to create project",""
"passed","Tue Feb 20 18:43:54 GMT 2024","Tue Feb 20 18:43:54 GMT 2024","143","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectWithIdProjectsStartWithSpecialSymbol","Create project with ID starting with a special symbol",""
"passed","Tue Feb 20 18:44:24 GMT 2024","Tue Feb 20 18:44:26 GMT 2024","2548","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldSeeErrorForInvalidProjectURL","Authorized user should see error for invalid project URL",""
"failed","Tue Feb 20 18:44:12 GMT 2024","Tue Feb 20 18:44:17 GMT 2024","4780","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldSeeErrorForInvalidProjectURL","User should see error for invalid project URL",""
"passed","Tue Feb 20 18:43:52 GMT 2024","Tue Feb 20 18:43:52 GMT 2024","688","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectInRootDirectoryAndCheckIt","Create project in root directory and check it",""
